"","DATE_hour_week","slope_Temp","slope_Irrad","intercept","minimum"
"84",83,-5.52527657122761,-0.0557498673355682,133.307170884365,6.91603721661772
"85",84,-4.7344104796648,-0.0156461149454117,117.695375829935,8.22053387761116
"86",85,-4.85401420017514,-0.0270900343257437,121.151862921309,4.8319693758507
"87",86,-4.96742603182793,-0.0483023077249527,122.357276454568,12.2691806405783
"88",87,-5.08104918632049,-0.166266125397377,128.160209585182,10.1254544410885
"89",88,-5.19028463072434,-0.17939979077606,123.142705113839,12.7333097107837
"90",89,-4.30363574624062,-0.348821416497231,100.043874040246,9.90648996829987
"91",90,-2.3198767897337,-0.193319573608319,58.2413048799712,4.50001850720162
"92",91,-2.85844783484936,-0.384017586708069,53.920089662075,2.33332976698875
"93",92,-2.97092877300832,-0.821722479599619,55.8919119159018,2.59053968358352
"94",93,-2.50081594475539,-3.03419951651327,51.0641919395786,5.62558947341899
"95",94,-1.85479521689681,-1.11000321952838,35.403923393845,1.0619269283595
"96",95,-2.20534019172192,-0.840000003576279,36.7854325920343,7.29217135906219
"97",96,-2.35665618536091,-1.1793989422774,36.957357975315,1.88529509470154
"98",97,-2.48448667920851,-0.262477419740216,38.3042902303945,3.76095472974898
"99",98,-2.19643646113448,-0.379573608476962,37.4482243923325,6.12940142694478
"100",99,-2.47731774355343,-1.34906956774555,41.8867064656859,6.84261262074208
"101",100,-2.30244897305965,-0.270662754774094,39.221038416028,7.52015763521194
"102",101,-2.20417703688145,-0.0539593994617462,37.0187965333462,7.65339335799217
"103",102,-2.25206204495522,-0.0314950614163649,38.4693484089218,8.62814039064157
"104",103,-2.51292045414448,-0.0598376989364624,47.4507883638144,4.73099488019943
"105",104,-2.8562318774479,-0.0371699492595934,62.3880762400182,8.0480920748606
"106",105,-5.59226137399673,-0.0838502198457718,139.013716697693,11.7021063417196
"107",106,-5.29695251334058,-0.0413469534008401,122.878855905833,9.70341818795261
"108",107,-5.82865746170053,-0.0416686514983541,127.077988145658,4.60337040722852
"109",108,-5.57127857208252,-0.0237426906824112,125.205102518201,6.08869448304176
"110",109,-5.14288474208518,-0.0540496696704309,124.482905129087,9.89472088840683
"111",110,-4.78856155688919,-0.0788185336080999,125.867232909241,9.79938357991426
"112",111,-4.97507076266457,-0.0623543429480465,124.30689633016,10.1315927307395
"113",112,-4.96880614757538,-0.147117108106613,123.527767136693,9.97413656115532
"114",113,-4.01280513787732,-0.365536233398281,105.178469797135,9.82538440694787
"115",114,-1.94616260962418,-0.213861708098621,55.3697027289964,2.65725429577074
"116",115,-2.31914674218323,-0.436910534415619,52.8121560679784,1.05182957618707
"117",116,-2.89372912049294,-0.447150826454163,52.1250514686108,7.94228626787663
"118",117,-2.50192916704923,-3.18205164142209,52.7968114712826,5.70125692821103
"119",118,-1.859766309538,-0.318245983401525,34.0384039510778,6.7493946069208
"120",119,-1.77541750669479,-0.404160633683205,33.7047718167305,7.24844439327717
"121",120,-2.09527534536782,-0.209584502378602,34.5309026672172,7.59943233155758
"122",121,-2.18799681961536,-1.27689829468727,37.0483871251345,7.15812820196152
"123",122,-2.4733140259064,-1.03003834488771,38.0118281416235,5.41698937733089
"124",123,-2.23503543751973,-1.05205696808607,36.8843048575296,2.38233001342697
"125",124,-2.17515928325902,-0.829796603680368,39.0500711120315,1.3461063438116
"126",125,-2.18162494449089,-0.14296488102154,38.4614235619785,9.24916233606083
"127",126,-2.23025693659459,-0.0663966568033832,39.8431189795868,10.0290818113169
"128",127,-2.56125455556016,-0.114113972452207,53.5762728633659,8.17617112788026
"129",128,-2.6010712359109,-0.0579865360897635,60.6646142050956,11.813283270122
"130",129,-5.41449647064055,-0.0849302746408573,134.258174097534,10.4722479594584
"131",130,-4.18982239728491,-0.0812239790901255,123.517647314579,6.3720446736906
"132",131,-5.39004760323245,-0.0654454030649365,136.758110336269,8.36881439025822
"133",132,-5.40282824958358,-0.0477168486814372,127.560495017732,11.058341325193
"134",133,-4.93588951309078,-0.043723205016383,122.317275838041,8.37292751627958
"135",134,-4.92530976872722,-0.0735828325236131,116.579016692227,3.6172841105545
"136",135,-4.95404658024596,-0.0263685288966563,111.662382043041,10.4605237082754
"137",136,-4.86894723391037,-0.128636638090324,123.288481532921,10.2428404754831
"138",137,-4.30941871608019,-0.213202729180357,100.671716313624,7.74019311470152
"139",138,-2.0777945642729,-0.290713016730949,55.8963057337139,2.77715009530058
"140",139,-2.33992572128773,-0.433135882019997,48.3268117159605,6.64450462162495
"141",140,-3.2008576733898,-0.883837515699581,53.0314692670649,2.97193253912207
"142",141,-3.04736468195915,-0.943545967340469,52.9799692630768,7.4162111133337
"143",142,-1.8810526283409,-0.8818951757206,32.3405549466702,3.48021428487709
"144",143,-1.75910219550133,-1.03994964063168,35.6245852410793,2.82535175979137
"145",144,-1.94209147995978,-1.10583094711295,33.5926846062874,5.52245629573187
"146",145,-1.84121772472129,-1.44974040974108,35.0915812224472,3.70382221017499
"147",146,-1.97733805113974,-1.39559832729712,37.6640316221804,5.12443478930017
"148",147,-2.3593112469726,-0.943193192884935,37.9532171379524,3.72220675613843
"149",148,-1.98007857848251,-0.270214282735337,35.1426038381309,3.21835467664389
"150",149,-2.22275753268962,-0.0844652985497052,38.5400424517283,7.03240648688044
"151",150,-1.91541939891188,-0.0630535713041649,38.3629831648907,1.27984278695155
"152",151,-2.56591902673244,-0.0565806925296783,51.7971873283386,9.45921544730663
"153",152,-2.19225142250185,-0.0243723476297681,49.1922798111387,4.63895277104748
"154",153,-1.84499651786555,-0.0160200639775605,46.726490467177,4.21017275567435
"155",154,-1.69895841672167,-0.01078797549662,44.3087109553448,6.49580769760037
"156",155,-1.61616199188997,-0.0196762094710199,43.8484454142404,3.46730177334918
"157",156,-1.62675873724637,-0.013531491937361,40.3437974030493,2.95557048069427
"158",157,-1.84175106371096,-0.0155997495135968,41.6146019843358,2.06798234973103
"159",158,-1.62021082307421,-0.0260435718168908,41.8840139795304,4.77946179534835
"160",159,-1.95438085001858,-0.0514878144271884,44.2321171921639,5.49133982270444
"161",160,-1.80563953518867,-0.100910559296608,42.649406298995,6.3285011947155
"162",161,-1.58764809182261,-0.0623899857606027,42.4280465857448,8.47809057326416
"163",162,-1.77601397094939,-0.161742314483474,42.5812931727295,3.81260490060436
"164",163,-1.94116312309961,-0.290046224294006,40.1967206930662,5.17246220602483
"165",164,-1.91941118602073,-1.16229377314411,39.1824314691453,6.02371905567748
"166",165,-2.14518776535988,-1.8633429557085,44.6216426640749,6.13278183341026
"167",166,-1.37504496935159,-1.77062674690225,25.7176348736256,3.26816978825012
"168",167,-1.33399679724646,-2.08717334922055,27.0305158390262,3.04679771803785
